0,1,2,3
0.0,19.0,90.0,0.18292682926829268
0.0,19.0,167.0,0.2921348314606742
0.0,20.0,8.0,0.0
0.0,20.0,22.0,0.0
0.0,20.0,30.0,0.0
0.0,20.0,38.0,0.0
0.0,21.0,13.0,0.05027932960893855
0.0,21.0,16.0,0.019178082191780854
0.0,21.0,35.0,0.04569892473118281
0.0,21.0,45.0,0.008287292817679592
0.0,21.0,165.0,0.01704545454545453
0.0,22.0,62.0,0.4864864864864865
0.0,22.0,102.0,0.5135135135135137
0.0,22.0,124.0,0.5454545454545455
0.0,22.0,142.0,0.49350649350649356
0.0,23.0,61.0,0.0
0.0,23.0,74.0,0.02272727272727273
0.0,23.0,84.0,0.034090909090909095
0.0,23.0,112.0,0.034482758620689655
0.0,23.0,113.0,0.034482758620689655
0.0,23.0,144.0,0.013904982618771732
0.0,24.0,9.0,0.0
0.0,24.0,10.0,0.0
0.0,24.0,35.0,0.0
0.0,24.0,91.0,0.0
0.0,24.0,149.0,0.0
0.0,24.0,170.0,0.0
0.0,25.0,2.0,0.0
0.0,25.0,11.0,0.0
0.0,25.0,18.0,0.0
0.0,25.0,51.0,0.0
0.0,25.0,55.0,0.0
0.0,25.0,103.0,0.0
0.0,25.0,118.0,0.0
0.0,25.0,153.0,0.0
0.0,25.0,154.0,0.0
0.0,26.0,3.0,0.631578947368421
0.0,26.0,37.0,0.6209850107066381
0.0,26.0,50.0,0.6568421052631579
0.0,26.0,72.0,0.6164383561643836
0.0,26.0,76.0,0.6365503080082137
0.0,26.0,83.0,0.5971370143149284
0.0,26.0,114.0,0.6580645161290322
0.0,26.0,140.0,0.6553911205073994
0.0,26.0,145.0,0.6369426751592357
0.0,26.0,159.0,0.6960352422907489
0.0,26.0,172.0,0.5987525987525987
0.0,27.0,18.0,0.10828025477707004
0.0,27.0,103.0,0.13043478260869565
0.0,27.0,118.0,0.12418300653594774
0.0,27.0,135.0,0.2777777777777778
0.0,27.0,146.0,0.12418300653594772
0.0,27.0,153.0,0.12101910828025478
0.0,28.0,2.0,0.8439306358381504
0.0,28.0,11.0,0.7471264367816091
0.0,28.0,18.0,0.7213114754098361
0.0,28.0,42.0,0.8333333333333334
0.0,28.0,51.0,0.7513812154696133
0.0,28.0,84.0,0.7371134020618557
0.0,28.0,103.0,0.7657142857142857
0.0,28.0,118.0,0.7714285714285714
0.0,28.0,146.0,0.6936416184971099
0.0,28.0,153.0,0.7821229050279329
0.0,28.0,154.0,0.6705202312138729
0.0,29.0,40.0,0.21052631578947367
0.0,29.0,56.0,0.18181818181818177
0.0,29.0,109.0,0.25
0.0,29.0,122.0,0.139655172413793
0.0,31.0,5.0,0.6585365853658537
0.0,31.0,9.0,0.3529411764705883
0.0,31.0,34.0,0.4864864864864864
0.0,31.0,52.0,0.6666666666666666
0.0,31.0,66.0,0.4736842105263157
0.0,31.0,71.0,0.4545454545454547
0.0,31.0,75.0,0.4222222222222224
0.0,31.0,93.0,0.4375
0.0,31.0,95.0,0.7209302325581396
0.0,32.0,60.0,0.3999999999999999
0.0,32.0,168.0,0.3333333333333333
0.0,33.0,59.0,0.0890410958904109
0.0,33.0,80.0,0.07194244604316541
0.0,33.0,128.0,0.4814814814814816
0.0,33.0,162.0,0.1021897810218978
0.0,34.0,4.0,0.0
0.0,34.0,59.0,0.0
0.0,34.0,80.0,0.0
0.0,34.0,85.0,0.0
0.0,34.0,104.0,0.0
0.0,34.0,128.0,0.0
0.0,34.0,162.0,0.0
0.0,35.0,24.0,0.0
0.0,35.0,26.0,0.022935779816513777
0.0,35.0,41.0,0.0
0.0,35.0,54.0,0.0
0.0,35.0,94.0,0.004608294930875579
0.0,35.0,101.0,0.0
0.0,35.0,107.0,0.0
0.0,35.0,133.0,0.0
0.0,36.0,101.0,0.0
0.0,36.0,163.0,0.024999999999999967
0.0,36.0,169.0,0.6295364714337046
0.0,37.0,52.0,0.39622641509433965
0.0,37.0,53.0,0.5555555555555555
0.0,37.0,71.0,0.7551020408163264
0.0,37.0,81.0,0.56195462478185
0.0,37.0,89.0,0.4385150812064965
0.0,37.0,106.0,0.6618589743589743
0.0,37.0,117.0,0.6524271844660194
0.0,37.0,132.0,0.018567639257294433
0.0,38.0,1.0,0.3571428571428571
0.0,38.0,9.0,0.0
0.0,38.0,10.0,0.0
0.0,38.0,34.0,0.17272727272727273
0.0,38.0,52.0,0.91796875
0.0,38.0,66.0,0.16470588235294115
0.0,38.0,67.0,0.015455950540958163
0.0,38.0,75.0,0.2978723404255319
0.0,38.0,95.0,0.0
0.0,38.0,100.0,0.0
0.0,38.0,110.0,0.031250000000000056
0.0,39.0,31.0,0.1392405063291139
0.0,39.0,42.0,0.0
0.0,39.0,55.0,0.0982142857142857
0.0,40.0,13.0,0.0
0.0,40.0,16.0,0.0
0.0,40.0,45.0,0.0
0.0,40.0,57.0,0.0
0.0,40.0,62.0,0.0
0.0,40.0,119.0,0.0
0.0,40.0,124.0,0.0
0.0,41.0,58.0,0.0
0.0,41.0,64.0,0.0
0.0,41.0,99.0,0.0
0.0,41.0,120.0,0.0
0.0,41.0,135.0,0.0
0.0,41.0,147.0,0.0
0.0,42.0,33.0,0.0
0.0,42.0,44.0,0.0
0.0,42.0,46.0,0.0
0.0,42.0,134.0,0.0
0.0,43.0,1.0,0.22285714285714286
0.0,43.0,9.0,0.7921228710462286
0.0,43.0,27.0,0.0
0.0,43.0,52.0,0.25
0.0,43.0,66.0,0.2112676056338028
0.0,43.0,67.0,0.14814814814814814
0.0,43.0,69.0,0.2435897435897436
0.0,43.0,75.0,0.2482269503546099
0.0,43.0,81.0,0.09523809523809523
0.0,43.0,95.0,0.0
0.0,43.0,100.0,0.2582781456953642
0.0,43.0,110.0,0.14189189189189189
0.0,43.0,111.0,0.15943877551020408
0.0,44.0,4.0,0.2727272727272727
0.0,44.0,59.0,0.27522935779816515
0.0,44.0,85.0,0.28828828828828834
0.0,44.0,130.0,0.2857142857142857
0.0,45.0,9.0,0.26778882938026016
0.0,45.0,12.0,0.36363636363636365
0.0,45.0,48.0,0.42162162162162153
0.0,45.0,52.0,0.4761904761904762
0.0,45.0,65.0,0.5135135135135134
0.0,45.0,69.0,0.4545454545454546
0.0,45.0,81.0,0.28873239436619724
0.0,45.0,89.0,0.3555555555555555
0.0,45.0,105.0,0.3726708074534162
0.0,45.0,106.0,0.4698795180722891
0.0,45.0,117.0,0.28169014084507044
0.0,45.0,129.0,0.2550335570469799
0.0,46.0,6.0,0.02857142857142858
0.0,46.0,14.0,0.0
0.0,46.0,32.0,0.0
0.0,46.0,40.0,0.015151515151515194
0.0,46.0,56.0,0.0
0.0,46.0,96.0,0.0
0.0,47.0,9.0,0.0
0.0,47.0,10.0,0.4058694973462379
0.0,47.0,35.0,0.03669724770642203
0.0,47.0,91.0,0.020576131687242816
0.0,47.0,93.0,0.34615384615384615
0.0,47.0,106.0,0.1180327868852459
0.0,47.0,149.0,0.2697095435684647
0.0,47.0,170.0,0.18846153846153843
0.0,48.0,3.0,0.19767441860465107
0.0,48.0,72.0,0.29612756264236906
0.0,48.0,76.0,0.3380281690140845
0.0,48.0,83.0,0.23529411764705865
0.0,48.0,114.0,0.16666666666666674
0.0,48.0,140.0,0.2941176470588234
0.0,48.0,159.0,0.2325581395348837
0.0,48.0,172.0,0.2650602409638553
0.0,49.0,33.0,0.0
0.0,49.0,44.0,0.0
0.0,49.0,61.0,0.0
0.0,49.0,70.0,0.0
0.0,49.0,92.0,0.0
0.0,49.0,134.0,0.2761437908496732
0.0,50.0,57.0,0.9811320754716979
0.0,50.0,102.0,0.9922480620155036
0.0,50.0,124.0,0.963235294117647
0.0,50.0,142.0,0.9455782312925171
0.0,51.0,121.0,0.17142857142857137
0.0,52.0,17.0,0.7263157894736842
0.0,52.0,63.0,0.7181818181818183
0.0,52.0,87.0,0.7065217391304347
0.0,52.0,90.0,0.7191011235955056
0.0,52.0,167.0,0.8181818181818183
0.0,53.0,57.0,0.0
0.0,53.0,62.0,0.0
0.0,53.0,102.0,0.007407407407407363
0.0,53.0,124.0,0.0
0.0,53.0,142.0,0.0
0.0,53.0,158.0,0.0
0.0,54.0,33.0,0.0
0.0,54.0,44.0,0.0
0.0,54.0,46.0,0.0
0.0,54.0,61.0,0.0
0.0,54.0,92.0,0.0
0.0,54.0,134.0,0.0
0.0,55.0,19.0,0.03937007874015748
0.0,55.0,24.0,0.0
0.0,55.0,41.0,0.0
0.0,55.0,54.0,0.0
0.0,55.0,94.0,0.042735042735042736
0.0,55.0,101.0,0.0
0.0,56.0,8.0,0.28859060402684567
0.0,56.0,22.0,0.2550335570469799
0.0,56.0,30.0,0.27999999999999997
0.0,56.0,38.0,0.29729729729729726
