0,1,2,3
0.0,13.0,15.0,1.0
0.0,13.0,16.0,0.37714390996908514
0.0,13.0,17.0,0.48026315789473684
0.0,13.0,18.0,1.0
0.0,14.0,0.0,1.0
0.0,14.0,1.0,0.0
0.0,14.0,2.0,1.0
0.0,14.0,3.0,0.7305194805194806
0.0,14.0,4.0,0.0
0.0,14.0,5.0,0.0
0.0,14.0,6.0,0.3958491941815492
0.0,14.0,7.0,0.8166544256187419
0.0,14.0,8.0,0.0
0.0,14.0,9.0,0.0
0.0,14.0,10.0,0.247612213751183
0.0,14.0,11.0,1.0
0.0,14.0,12.0,0.9849877328044099
0.0,14.0,13.0,0.45264405869720825
0.0,14.0,14.0,0.0
0.0,14.0,15.0,0.0
0.0,14.0,16.0,0.0
0.0,14.0,17.0,1.0
0.0,14.0,18.0,0.0
0.0,15.0,0.0,0.0
0.0,15.0,1.0,0.33896720071512065
0.0,15.0,2.0,0.0
0.0,15.0,3.0,0.0
0.0,15.0,4.0,0.0
0.0,15.0,5.0,0.700575666783999
0.0,15.0,6.0,0.0
0.0,15.0,7.0,1.0
0.0,15.0,8.0,0.0
0.0,15.0,9.0,0.0
0.0,15.0,10.0,1.0
0.0,15.0,11.0,1.0
0.0,15.0,12.0,0.15508453162259261
0.0,15.0,13.0,0.06863231274218927
0.0,15.0,14.0,0.9999610718224875
0.0,15.0,15.0,0.4790601423105804
0.0,15.0,16.0,0.2011506764242889
0.0,15.0,17.0,0.1754195208582509
0.0,15.0,18.0,0.9171385142704883
0.0,16.0,0.0,0.07544366020046223
0.0,16.0,1.0,0.5115919629057187
0.0,16.0,2.0,0.0
0.0,16.0,3.0,0.0
0.0,16.0,4.0,0.0
0.0,16.0,5.0,0.7062575295868472
0.0,16.0,6.0,0.0
0.0,16.0,7.0,1.0
0.0,16.0,8.0,0.0
0.0,16.0,9.0,0.0
0.0,16.0,10.0,0.939688753786214
0.0,16.0,11.0,1.0
0.0,16.0,12.0,0.5485609777987701
0.0,16.0,13.0,0.351484888304862
0.0,16.0,14.0,0.44898906198210137
0.0,16.0,15.0,0.7064564564564565
0.0,16.0,16.0,0.3321498285688154
0.0,16.0,17.0,0.5879226681044443
0.0,16.0,18.0,0.4372119815668203
0.0,17.0,0.0,0.67843594542191
0.0,17.0,1.0,0.5766912348338813
0.0,17.0,2.0,0.0
0.0,17.0,3.0,0.6617683480558079
0.0,17.0,4.0,0.0
0.0,17.0,5.0,0.5493994902494137
0.0,17.0,6.0,0.3841687380619021
0.0,17.0,7.0,0.6364351439688788
0.0,17.0,8.0,0.04826474287903085
0.0,17.0,9.0,0.14070154135454327
0.0,17.0,10.0,1.0
0.0,17.0,11.0,1.0
0.0,17.0,12.0,0.17641120191665394
0.0,17.0,13.0,0.7846029049194568
0.0,17.0,14.0,0.4187455189755306
0.0,17.0,15.0,0.23467325940259728
0.0,17.0,16.0,0.32033732940695175
0.0,17.0,17.0,0.7420014298025697
0.0,17.0,18.0,0.32811213027634767
0.0,18.0,0.0,0.3927989356797408
0.0,18.0,1.0,0.28747449584816137
0.0,18.0,2.0,1.0
0.0,18.0,3.0,0.5784563838551509
0.0,18.0,4.0,0.0
0.0,18.0,5.0,0.18648460613386197
0.0,18.0,6.0,0.4274059581362648
0.0,18.0,7.0,0.7776463538583802
0.0,18.0,8.0,0.28228487738329
0.0,18.0,9.0,0.24102386408601406
0.0,18.0,10.0,0.5141987950306655
0.0,18.0,11.0,0.9999999999999999
0.0,18.0,12.0,0.03977583432085441
0.0,18.0,13.0,0.4764835291177205
